"PVWatts Hourly PV Performance Data"
"Requested Location","India"
"Solar Resource Data Location","NSRDB Lat/Lng: 28.65, 77.25"
"Latitude (degrees)", 28.65
"Longitude (degrees)", 77.25
"Elevation (m)","0"
"DC System Size (kW)","1"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","19","2","0","0","22.488","3","0.2","0","22.488","0","0"
"4","19","3","0","0","21.427","3","0.2","0","21.427","0","0"
"4","19","4","0","0","20.425","3","0.2","0","20.425","0","0"
"4","19","5","0","0","19.716","3","0.2","0","0","0","0"
"4","19","6","0","29","21.25","3","0.2","26.934","21.796","20.936","16.231"
"4","19","7","79","163","24.915","3","0.2","188.708","28.735","154.353","144.921"
"4","19","8","93","292","29.171","3","0.2","340.669","36.05","272.944","259.309"
"4","19","9","118","361","32.749","3","0.2","452.749","41.868","353.324","336.841"
"4","19","10","640","278","35.551","3","0.2","895.809","53.627","672.865","645.059"
"4","19","11","310","446","37.717","2","0.2","762.8","56.175","561.79","537.92"
"4","19","12","111","444","39.246","2","0.2","552.242","52.59","409.851","391.365"
"4","19","13","13","181","39.985","1","0.2","181.972","45.497","134.578","125.845"
"4","19","14","443","402","39.777","1","0.2","743.42","62.408","539.28","516.208"
"4","19","15","159","331","38.658","0","0.2","413.766","55.547","308.181","293.297"
"4","19","16","331","230","36.837","0","0.2","339.933","50.685","255.361","242.349"
"4","19","17","145","132","34.119","0","0.2","131.627","39.389","94.14","86.841"
"4","19","18","0","10","31.413","1","0.2","9.513","31.656","4.057","0"
"4","19","19","0","0","30.444","2","0.2","0","30.444","0","0"
"4","19","20","0","0","29.644","3","0.2","0","29.644","0","0"
"4","19","21","0","0","28.812","3","0.2","0","28.812","0","0"
"4","19","22","0","0","27.983","3","0.2","0","27.983","0","0"
"4","19","23","0","0","27.196","3","0.2","0","27.196","0","0"
"4","20","0","0","0","26.484","3","0.2","0","26.484","0","0"
"4","20","1","0","0","25.82","3","0.2","0","25.82","0","0"
"4","20","2","0","0","25.142","3","0.2","0","25.142","0","0"
"4","20","3","0","0","24.5","3","0.2","0","24.5","0","0"
"4","20","4","0","0","23.914","3","0.2","0","23.914","0","0"
"4","20","5","0","0","23.703","3","0.2","0","0","0","0"
"4","20","6","16","51","25.845","2","0.2","50.911","27.08","39.209","33.856"
"4","20","7","237","170","29.623","2","0.2","269.716","36.187","216.499","204.864"
"4","20","8","469","216","34.722","3","0.2","526.182","45.378","413.779","395.153"
"4","20","9","574","254","37.715","2","0.2","736.324","55.603","551.481","527.976"
"4","20","10","636","278","39.996","2","0.2","891.755","61.631","646.853","619.969"
"4","20","11","668","290","41.654","1","0.2","972.796","71.226","673.497","645.669"
"4","20","12","676","293","42.565","1","0.2","975.655","72.227","672.596","644.8"
"4","20","13","661","287","42.61","0","0.2","901.029","79.324","602.832","577.508"
"4","20","14","619","271","41.938","0","0.2","756.318","72.807","525.363","502.784"
"4","20","15","544","243","40.473","0","0.2","562.199","63.478","410.435","391.928"
"4","20","16","420","199","38.453","1","0.2","342.947","48.874","258.688","245.558"
"4","20","17","148","133","35.888","1","0.2","132.523","39.85","94.598","87.282"
"4","20","18","0","8","33.175","1","0.2","7.61","33.369","3.172","0"
"4","20","19","0","0","32.207","2","0.2","0","32.207","0","0"
"4","20","20","0","0","31.279","2","0.2","0","31.279","0","0"
"4","20","21","0","0","30.369","2","0.2","0","30.369","0","0"
"4","20","22","0","0","29.444","2","0.2","0","29.444","0","0"
"4","20","23","0","0","28.554","2","0.2","0","28.554","0","0"
"4","21","0","0","0","27.746","2","0.2","0","27.746","0","0"
"4","21","1","0","0","27.048","2","0.2","0","27.048","0","0"
"4","21","2","0","0","26.333","1","0.2","0","26.333","0","0"
"4","21","3","0","0","25.756","1","0.2","0","25.756","0","0"
"4","21","4","0","0","25.157","1","0.2","0","25.157","0","0"
"4","21","5","0","0","25.01","1","0.2","0","0","0","0"
"4","21","6","0","25","27.632","0","0.2","23.212","28.581","17.35","12.771"
"4","21","7","158","169","31.635","0","0.2","231.64","41.099","181.127","170.746"
"4","21","8","93","275","36.437","0","0.2","323.928","49.64","244.545","231.916"
"4","21","9","247","370","38.787","1","0.2","573.751","56.225","424.333","405.334"
"4","21","10","89","404","39.984","1","0.2","476.999","54.439","350.602","334.215"
"4","21","11","449","385","40.731","2","0.2","846.588","61.234","611.553","585.92"
"4","21","12","413","410","40.991","2","0.2","829.497","61.077","599.37","574.169"
"4","21","13","72","416","40.938","2","0.2","469.898","52.297","348.728","332.407"
"4","21","14","86","382","40.216","2","0.2","435.373","50.763","327.139","311.583"
"4","21","15","0","116","38.95","2","0.2","108.274","41.578","81.008","74.174"
"4","21","16","0","109","37.118","2","0.2","101.478","39.59","77.479","70.77"
"4","21","17","0","96","34.944","2","0.2","85.933","37.029","64.821","58.56"
"4","21","18","0","3","32.561","3","0.2","2.854","32.609","1.125","0"
"4","21","19","0","0","31.433","3","0.2","0","31.433","0","0"
"4","21","20","0","0","30.737","3","0.2","0","30.737","0","0"
"4","21","21","0","0","29.949","3","0.2","0","29.949","0","0"
"4","21","22","0","0","28.986","3","0.2","0","28.986","0","0"
"4","21","23","0","0","28.15","2","0.2","0","28.15","0","0"
"4","22","0","0","0","27.417","2","0.2","0","27.417","0","0"
